Provider ,config_name  ,public_name ,cores ,memory in ,disk space  ,Network power        ,Physical Processor    ,GHz        ,Intel AVX†  ,Intel AVX2† ,Intel Turbo ,EBS OPT ,Enhanced Networking†
AWS      ,c4.8xlarge   ,c4.8xlarge  ,36    ,60        ,Only EBS    ,10 Gigabit           ,Intel Xeon E5-2666 v3 ,2.9        ,true        ,true        ,true        ,true    ,true                  
AWS      ,c3.large     ,c3.large    ,2     ,3.75      ,2 x 16 SSD  ,Medium               ,Intel Xeon E5-2680 v2 ,2.8        ,true        ,–           ,true        ,–       ,true                  
AWS      ,c3.xlarge    ,c3.xlarge   ,4     ,7.5       ,2 x 40 SSD  ,Medium               ,Intel Xeon E5-2680 v2 ,2.8        ,true        ,–           ,true        ,true    ,true                  
AWS      ,c3.2xlarge   ,c3.2xlarge  ,8     ,15        ,2 x 80 SSD  ,High                 ,Intel Xeon E5-2680 v2 ,2.8        ,true        ,–           ,true        ,true    ,true                  
AWS      ,c3.4xlarge   ,c3.4xlarge  ,16    ,30        ,2 x 160 SSD ,High                 ,Intel Xeon E5-2680 v2 ,2.8        ,true        ,–           ,true        ,true    ,true                  
AWS      ,c3.8xlarge   ,c3.8xlarge  ,32    ,60        ,2 x 320 SSD ,10 Gigabit           ,Intel Xeon E5-2680 v2 ,2.8        ,true        ,–           ,true        ,–       ,true                  
AWS      ,g2.2xlarge   ,g2.2xlarge  ,8     ,15        ,1 x 60 SSD  ,High                 ,Intel Xeon E5-2670    ,2.6        ,true        ,–           ,true        ,true    ,–                     
AWS      ,g2.8xlarge   ,g2.8xlarge  ,32    ,60        ,2 x 120 SSD ,10 Gigabit           ,Intel Xeon E5-2670    ,2.6        ,true        ,–           ,true        ,-       ,-                     
AWS      ,r3.large     ,r3.large    ,2     ,15.25     ,1 x 32 SSD  ,Medium               ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,–       ,true                  
AWS      ,r3.xlarge    ,r3.xlarge   ,4     ,30.5      ,1 x 80 SSD  ,Medium               ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,true    ,true                  
AWS      ,r3.2xlarge   ,r3.2xlarge  ,8     ,61        ,1 x 160 SSD ,High                 ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,true    ,true                  
AWS      ,r3.4xlarge   ,r3.4xlarge  ,16    ,122       ,1 x 320 SSD ,High                 ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,true    ,true                  
AWS      ,r3.8xlarge   ,r3.8xlarge  ,32    ,244       ,2 x 320 SSD ,10 Gigabit           ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,–       ,true                  
AWS      ,i2.xlarge    ,i2.xlarge   ,4     ,30.5      ,1 x 800 SSD ,Medium               ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,true    ,true                  
AWS      ,i2.2xlarge   ,i2.2xlarge  ,8     ,61        ,2 x 800 SSD ,High                 ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,true    ,true                  
AWS      ,i2.4xlarge   ,i2.4xlarge  ,16    ,122       ,4 x 800 SSD ,High                 ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,true    ,true                  
AWS      ,i2.8xlarge   ,i2.8xlarge  ,32    ,244       ,8 x 800 SSD ,10 Gigabit           ,Intel Xeon E5-2670 v2 ,2.5        ,true        ,–           ,true        ,–       ,true                  
AWS      ,d2.xlarge    ,d2.xlarge   ,4     ,30.5      ,3 x 2000    ,Medium               ,Intel Xeon E5-2676 v3 ,2.4        ,true        ,true        ,true        ,true    ,true                  
AWS      ,d2.2xlarge   ,d2.2xlarge  ,8     ,61        ,6 x 2000    ,High                 ,Intel Xeon E5-2676 v3 ,2.4        ,true        ,true        ,true        ,true    ,true                  
AWS      ,d2.4xlarge   ,d2.4xlarge  ,16    ,122       ,12 x 2000   ,High                 ,Intel Xeon E5-2676 v3 ,2.4        ,true        ,true        ,true        ,true    ,true                  
AWS      ,d2.8xlarge   ,d2.8xlarge  ,36    ,244       ,24 x 2000   ,10 Gigabit           ,Intel Xeon E5-2676 v3 ,2.4        ,true        ,true        ,true        ,true    ,true                  
                               
